"['data.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.microsoftonline.com', '[Errno -2] Name or service not known']"
"['www.apple-dns.net', '[Errno -2] Name or service not known']"
"['www.root-servers.net', '[Errno -2] Name or service not known']"
"['cloud.netflix.com', '[Errno -5] No address associated with hostname']"
"['www.googlesyndication.com', '[Errno -2] Name or service not known']"
"['partner.netflix.net', '[Errno -5] No address associated with hostname']"
"['www.gvt2.com', '[Errno -2] Name or service not known']"
"['www.akamai.net', '[Errno -2] Name or service not known']"
"['www.ytimg.com', '[Errno -2] Name or service not known']"
"['www.youtu.be', '[Errno -2] Name or service not known']"
"['prod.ftl.netflix.com', '[Errno -2] Name or service not known']"
"['www.akadns.net', '[Errno -2] Name or service not known']"
"['www.akamaiedge.net', '[Errno -2] Name or service not known']"
"['prod.partner.netflix.net', '[Errno -5] No address associated with hostname']"
"['prod.netflix.com', '[Errno -5] No address associated with hostname']"
"['www.app-measurement.com', '[Errno -2] Name or service not known']"
"['www.aaplimg.com', '[Errno -2] Name or service not known']"
"['www.whatsapp.net', '[Errno -2] Name or service not known']"
"['g.doubleclick.net', '[Errno -5] No address associated with hostname']"
"['www.amazon-adsystem.com', '[Errno -2] Name or service not known']"
"['www.cloudfront.net', '[Errno -5] No address associated with hostname']"
"['www.trafficmanager.net', '[Errno -5] No address associated with hostname']"
"['www.office.net', '[Errno -2] Name or service not known']"
"['www.cdninstagram.com', '[Errno -2] Name or service not known']"
"['www.one.one', '[Errno -2] Name or service not known']"
"['com.akadns.net', '[Errno -5] No address associated with hostname']"
"['www.wa.me', '[Errno -2] Name or service not known']"
"['www.ttlivecdn.com', '[Errno -2] Name or service not known']"
"['mp.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.gvt1.com', '[Errno -2] Name or service not known']"
"['www.ggpht.com', '[Errno -2] Name or service not known']"
"['www.nr-data.net', '[Errno -5] No address associated with hostname']"
"['www.bytefcdn-oversea.com', '[Errno -2] Name or service not known']"
"['www.facebook.net', '[Errno -2] Name or service not known']"
"['ls.apple.com', '[Errno -5] No address associated with hostname']"
"['prod.do.dsp.mp.microsoft.com', '[Errno -5] No address associated with hostname']"
"['do.dsp.mp.microsoft.com', '[Errno -5] No address associated with hostname']"
"['fe.apple-dns.net', '[Errno -5] No address associated with hostname']"
"['prod.cloud.netflix.com', '[Errno -5] No address associated with hostname']"
"['dsp.mp.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.tiktokcdn.com', '[Errno -2] Name or service not known']"
"['www.cdn77.org', '[Errno -2] Name or service not known']"
"['g.aaplimg.com', '[Errno -5] No address associated with hostname']"
"['www.cloudflare-dns.com', '[Errno -5] No address associated with hostname']"
"['www.2mdn.net', '[Errno -2] Name or service not known']"
"['c.lencr.org', '[Errno -5] No address associated with hostname']"
"['www.safebrowsing.apple', '[Errno -2] Name or service not known']"
"['www.worldfcdn.com', '[Errno -2] Name or service not known']"
"['cdn.office.net', '[Errno -5] No address associated with hostname']"
"['www.tiktokcdn-us.com', '[Errno -2] Name or service not known']"
"['push.apple.com', '[Errno -5] No address associated with hostname']"
"['measure.office.com', '[Errno -5] No address associated with hostname']"
"['www.cdn-apple.com', '[Errno -2] Name or service not known']"
"['www.3lift.com', '[Errno -2] Name or service not known']"
"['www.media-amazon.com', '[Errno -2] Name or service not known']"
"['www.a2z.com', '[Errno -2] Name or service not known']"
"['www.jsdelivr.net', '[Errno -2] Name or service not known']"
"['www.nflxso.net', '[Errno -2] Name or service not known']"
"['dsce9.akamaiedge.net', '[Errno -5] No address associated with hostname']"
"['www.adform.net', '[Errno -2] Name or service not known']"
"['www.twimg.com', '[Errno -2] Name or service not known']"
"['measure.office.net', '[Errno -5] No address associated with hostname']"
"['www.akamaized.net', '[Errno -2] Name or service not known']"
"['nel.measure.office.net', '[Errno -5] No address associated with hostname']"
"['www.criteo.net', '[Errno -2] Name or service not known']"
"['www.adobedtm.com', '[Errno -2] Name or service not known']"
"['delivery.mp.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.go-mpulse.net', '[Errno -2] Name or service not known']"
"['www.liadm.com', '[Errno -2] Name or service not known']"
"['www.sc-cdn.net', '[Errno -2] Name or service not known']"
"['www.a-msedge.net', '[Errno -2] Name or service not known']"
"['www.rocket-cdn.com', '[Errno -5] No address associated with hostname']"
"['www.yahoodns.net', '[Errno -2] Name or service not known']"
"['core.windows.net', '[Errno -5] No address associated with hostname']"
"['www.3gppnetwork.org', '[Errno -2] Name or service not known']"
"['www.rbxcdn.com', '[Errno -2] Name or service not known']"
"['www.creativecdn.com', '[Errno -2] Name or service not known']"
"['www.sfx.ms', '[Errno -2] Name or service not known']"
"['blob.core.windows.net', '[Errno -5] No address associated with hostname']"
"['www.amazonalexa.com', '[Errno -2] Name or service not known']"
"['fp.measure.office.com', '[Errno -5] No address associated with hostname']"
"['www.atomile.com', '[Errno -2] Name or service not known']"
"['aria.microsoft.com', '[Errno -5] No address associated with hostname']"
"['beian.gov.cn', '[Errno -5] No address associated with hostname']"
"['www.bamgrid.com', '[Errno -2] Name or service not known']"
"['www.aws.dev', '[Errno -2] Name or service not known']"
"['www.akamaihd.net', '[Errno -2] Name or service not known']"
"['www.samsungcloudsolution.com', '[Errno -2] Name or service not known']"
"['www.imrworldwide.com', '[Errno -2] Name or service not known']"
"['pipe.aria.microsoft.com', '[Errno -5] No address associated with hostname']"
"['www.msidentity.com', '[Errno -2] Name or service not known']"
"['www.salesforceliveagent.com', '[Errno -2] Name or service not known']"
"['www.playstation.net', '[Errno -2] Name or service not known']"
"['www.facebook-hardware.com', '[Errno -2] Name or service not known']"
"['www.openx.net', '[Errno -2] Name or service not known']"
"['www.dns.google', '[Errno -2] Name or service not known']"
"['miit.gov.cn', '[Errno -5] No address associated with hostname']"
"['www.samsungqbe.com', '[Errno -2] Name or service not known']"
"['www.cloudapp.net', '[Errno -5] No address associated with hostname']"
"['res.office365.com', '[Errno -5] No address associated with hostname']"
