Nr,request,deviation_count,uri,1xx,2xx,3xx,4xx,5xx,9xx
0,"GET /# HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/#,0,0,0,0,0,0
0,"GET /contact#32j HTTP/1.1
Host: >>HOST_PLACEHOLDER<<
User-Agent: Mozilla/5.0 (Windows NT 10.0; rv:102.0) Gecko/20100101 Firefox/102.0
Accept: text/html,application/xhtml+xml,application/xml;q=0.9,image/avif,image/webp,*/*;q=0.8
Accept-Encoding: gzip, deflate
Accept-Language: en-US,en;q=0.5
DNT: 1
Connection: keep-alive

",1,/contact#32j,0,0,0,0,0,0
