Rank,Domain,Use_Sub_www(Rel),Use_Host_Sub(Rel),Use_Host_Sub(Abs),Relative URI,Absolute URI,URI_Option
1,google.com,True,indifferent,True,True,True,indifferent
2,facebook.com,True,indifferent,True,True,True,indifferent
5,youtube.com,True,indifferent,True,True,True,indifferent
6,apple.com,unknown,True,True,True,True,indifferent
7,www.google.com,True,indifferent,indifferent,True,True,indifferent
9,instagram.com,True,indifferent,True,True,True,indifferent
22,office.com,True,indifferent,True,True,True,indifferent
24,wikipedia.org,True,indifferent,True,True,True,indifferent
26,amazon.com,True,indifferent,True,True,True,indifferent
28,bing.com,unknown,True,True,True,True,indifferent
34,icloud.com,unknown,True,True,True,True,indifferent
37,pinterest.com,unknown,True,True,True,True,indifferent
49,digicert.com,unknown,True,True,True,True,indifferent
53,adobe.com,unknown,True,True,True,True,indifferent
56,cloudflare.com,True,indifferent,True,True,True,indifferent
66,ui.com,indifferent,indifferent,indifferent,True,True,indifferent
76,ntp.org,indifferent,indifferent,indifferent,True,True,indifferent
80,whatsapp.com,True,indifferent,True,True,True,indifferent
94,qq.com,unknown,True,True,True,True,indifferent
103,tumblr.com,True,indifferent,True,True,True,indifferent
106,api.whatsapp.com,True,indifferent,indifferent,True,True,indifferent
108,criteo.com,True,indifferent,True,True,True,indifferent
109,baidu.com,True,indifferent,True,True,True,indifferent
110,nih.gov,unknown,True,True,True,True,indifferent
112,snapchat.com,True,indifferent,True,True,True,indifferent
117,nytimes.com,True,indifferent,True,True,True,indifferent
120,policies.google.com,True,indifferent,indifferent,True,True,indifferent
123,flickr.com,indifferent,indifferent,indifferent,True,True,indifferent
124,teams.microsoft.com,True,indifferent,indifferent,True,True,indifferent
127,zoom.us,indifferent,indifferent,indifferent,True,True,indifferent
128,dropbox.com,True,indifferent,True,True,True,indifferent
135,support.google.com,True,indifferent,indifferent,True,True,indifferent
142,apache.org,indifferent,indifferent,indifferent,True,True,indifferent
149,roblox.com,unknown,True,True,True,True,indifferent
150,www.bing.com,indifferent,indifferent,indifferent,True,True,indifferent
167,w3.org,True,indifferent,True,True,True,indifferent
170,amazontrust.com,True,indifferent,True,True,True,indifferent
171,www.ncbi.nlm.nih.gov,indifferent,indifferent,indifferent,True,True,indifferent
176,open.spotify.com,True,indifferent,indifferent,True,True,indifferent
181,forbes.com,True,indifferent,True,True,True,indifferent
184,taboola.com,True,indifferent,True,True,True,indifferent
189,applovin.com,True,indifferent,True,True,True,indifferent
195,example.com,False,True,indifferent,True,True,indifferent
196,login.live.com,True,indifferent,indifferent,True,True,indifferent
197,bbc.com,True,indifferent,True,True,True,indifferent
206,opera.com,True,indifferent,True,True,True,indifferent
210,appsflyer.com,unknown,True,True,True,True,indifferent
211,www.youtube.com,True,indifferent,indifferent,True,True,indifferent
212,imdb.com,True,indifferent,True,True,True,indifferent
215,who.int,True,indifferent,True,True,True,indifferent
220,mit.edu,unknown,True,True,True,True,indifferent
225,sciencedirect.com,unknown,True,True,True,True,indifferent
226,ebay.com,unknown,True,True,True,True,indifferent
228,scorecardresearch.com,True,indifferent,True,True,True,indifferent
233,www.facebook.com,True,indifferent,indifferent,True,True,indifferent
236,web.archive.org,True,indifferent,indifferent,True,True,indifferent
238,researchgate.net,unknown,True,True,True,True,indifferent
239,cdc.gov,unknown,True,True,True,True,indifferent
242,nginx.com,True,indifferent,True,True,True,indifferent
247,twitch.tv,True,indifferent,True,True,True,indifferent
250,reuters.com,True,indifferent,True,True,True,indifferent
251,weebly.com,unknown,True,True,True,True,indifferent
252,httpd.apache.org,indifferent,indifferent,indifferent,True,True,indifferent
254,wikimedia.org,True,indifferent,True,True,True,indifferent
256,android.com,indifferent,indifferent,indifferent,True,True,indifferent
258,hubspot.com,True,indifferent,True,True,True,indifferent
259,x1.c.lencr.org,indifferent,indifferent,indifferent,True,True,indifferent
265,google.de,True,indifferent,True,True,True,indifferent
268,shopify.com,True,indifferent,True,True,True,indifferent
269,www.gov.uk,True,indifferent,indifferent,True,True,indifferent
271,doi.org,True,indifferent,True,True,True,indifferent
272,oracle.com,unknown,True,True,True,True,indifferent
278,opendns.com,True,indifferent,True,True,True,indifferent
280,harvard.edu,True,indifferent,True,True,True,indifferent
283,wsj.com,True,indifferent,True,True,True,indifferent
290,etsy.com,unknown,True,True,True,True,indifferent
295,go.com,True,indifferent,True,True,True,indifferent
300,php.net,True,indifferent,True,True,True,indifferent
308,dailymotion.com,True,indifferent,True,True,True,indifferent
309,nist.gov,True,indifferent,True,True,True,indifferent
315,un.org,True,indifferent,True,True,True,indifferent
327,gnu.org,True,indifferent,True,True,True,indifferent
332,outbrain.com,unknown,True,True,True,True,indifferent
333,media.net,unknown,True,True,True,True,indifferent
334,id5-sync.com,False,True,indifferent,True,True,indifferent
337,npr.org,unknown,True,True,True,True,indifferent
341,moatads.com,indifferent,indifferent,indifferent,True,True,indifferent
342,stanford.edu,True,indifferent,True,True,True,indifferent
345,hotjar.com,True,indifferent,True,True,True,indifferent
346,zemanta.com,unknown,True,True,True,True,indifferent
348,quantserve.com,True,indifferent,indifferent,True,True,indifferent
353,grammarly.com,True,indifferent,True,True,True,indifferent
354,sharethrough.com,True,indifferent,True,True,True,indifferent
357,eventbrite.com,True,indifferent,True,True,True,indifferent
359,mp.weixin.qq.com,indifferent,indifferent,indifferent,True,True,indifferent
360,tripadvisor.com,unknown,True,True,True,True,indifferent
361,lijit.com,indifferent,indifferent,indifferent,True,True,indifferent
365,slideshare.net,True,indifferent,True,True,True,indifferent
367,nasa.gov,True,indifferent,True,True,True,indifferent
372,booking.com,True,indifferent,True,True,True,indifferent
374,branch.io,True,indifferent,True,True,True,indifferent
375,foxnews.com,True,indifferent,True,True,True,indifferent
378,cisco.com,unknown,True,True,True,True,indifferent
380,goodreads.com,True,indifferent,True,True,True,indifferent
385,upload.fp.measure.office.com,True,indifferent,indifferent,True,True,indifferent
395,addtoany.com,unknown,True,True,True,True,indifferent
397,espn.com,True,indifferent,True,True,True,indifferent
398,cpanel.net,False,True,True,True,True,indifferent
406,wix.com,True,indifferent,True,True,True,indifferent
420,mcafee.com,unknown,True,True,True,True,indifferent
422,cnet.com,True,indifferent,True,True,True,indifferent
426,scribd.com,True,indifferent,True,True,True,indifferent
434,amazon.de,True,indifferent,True,True,True,indifferent
440,wired.com,True,indifferent,True,True,True,indifferent
441,healthline.com,True,indifferent,True,True,True,indifferent
443,statista.com,True,indifferent,True,True,True,indifferent
444,webmd.com,True,indifferent,True,True,True,indifferent
447,surveymonkey.com,True,indifferent,True,True,True,indifferent
449,alibaba.com,unknown,True,True,True,True,indifferent
456,ted.com,True,indifferent,True,True,True,indifferent
459,mayoclinic.org,unknown,True,True,True,True,indifferent
460,rayjump.com,True,indifferent,indifferent,True,True,indifferent
461,speedtest.net,True,indifferent,True,True,True,indifferent
464,bilibili.com,unknown,True,True,True,True,indifferent
466,behance.net,True,indifferent,True,True,True,indifferent
469,web.whatsapp.com,True,indifferent,indifferent,True,True,indifferent
474,accuweather.com,unknown,True,True,True,True,indifferent
476,walmart.com,unknown,True,True,True,True,indifferent
478,globo.com,True,indifferent,True,True,True,indifferent
479,mysql.com,unknown,True,True,True,True,indifferent
480,buzzfeed.com,True,indifferent,True,True,True,indifferent
484,addthis.com,unknown,True,True,True,True,indifferent
485,google.ca,True,indifferent,True,True,True,indifferent
486,berkeley.edu,True,indifferent,True,True,True,indifferent
490,deviantart.com,True,indifferent,True,True,True,indifferent
494,debian.org,True,indifferent,True,True,True,indifferent
496,cbsnews.com,True,indifferent,True,True,True,indifferent
497,loc.gov,indifferent,indifferent,indifferent,True,True,indifferent
499,google.fr,True,indifferent,True,True,True,indifferent
501,squarespace.com,True,indifferent,True,True,True,indifferent
505,ft.com,True,indifferent,True,True,True,indifferent
510,verisign.com,True,indifferent,True,True,True,indifferent
520,support.apple.com,indifferent,indifferent,indifferent,True,True,indifferent
521,google.es,True,indifferent,True,True,True,indifferent
523,validator.w3.org,True,indifferent,indifferent,True,True,indifferent
524,naver.com,unknown,True,True,True,True,indifferent
532,google.it,True,indifferent,True,True,True,indifferent
536,ietf.org,unknown,True,True,True,True,indifferent
538,theverge.com,True,indifferent,True,True,True,indifferent
540,latimes.com,True,indifferent,True,True,True,indifferent
541,webex.com,unknown,True,True,True,True,indifferent
544,ca.gov,unknown,True,True,True,True,indifferent
547,patreon.com,unknown,True,True,True,True,indifferent
548,sb.scorecardresearch.com,True,indifferent,indifferent,True,True,indifferent
551,163.com,True,indifferent,True,True,True,indifferent
554,scholar.google.com,True,indifferent,indifferent,True,True,indifferent
560,cornell.edu,True,indifferent,True,True,True,indifferent
564,prnewswire.com,True,indifferent,True,True,True,indifferent
565,qualtrics.com,unknown,True,True,True,True,indifferent
570,google.nl,True,indifferent,True,True,True,indifferent
571,intuit.com,unknown,True,True,True,True,indifferent
575,exo.nel.measure.office.net,indifferent,indifferent,indifferent,True,True,indifferent
577,www.apple.com,indifferent,indifferent,indifferent,True,True,indifferent
578,freepik.com,True,indifferent,True,True,True,indifferent
581,washington.edu,unknown,True,True,True,True,indifferent
583,ikea.com,unknown,True,True,True,True,indifferent
588,clients.config.office.net,indifferent,indifferent,indifferent,True,True,indifferent
591,cookielaw.org,unknown,True,True,True,True,indifferent
594,nbcnews.com,unknown,True,True,True,True,indifferent
595,cambridge.org,unknown,True,True,True,True,indifferent
597,indiatimes.com,unknown,True,True,True,True,indifferent
602,britannica.com,True,indifferent,True,True,True,indifferent
612,fda.gov,unknown,True,True,True,True,indifferent
616,target.com,True,indifferent,True,True,True,indifferent
617,nationalgeographic.com,True,indifferent,True,True,True,indifferent
618,google.pl,True,indifferent,True,True,True,indifferent
624,pubmed.ncbi.nlm.nih.gov,True,indifferent,indifferent,True,True,indifferent
628,investopedia.com,True,indifferent,True,True,True,indifferent
630,tapad.com,unknown,True,True,True,True,indifferent
632,w3schools.com,unknown,True,True,True,True,indifferent
634,mediafire.com,unknown,True,True,True,True,indifferent
636,mlb.com,unknown,True,True,True,True,indifferent
638,wattpad.com,True,indifferent,True,True,True,indifferent
640,huffpost.com,True,indifferent,True,True,True,indifferent
644,fandom.com,True,indifferent,True,True,True,indifferent
647,youku.com,indifferent,indifferent,indifferent,True,True,indifferent
648,zillow.com,True,indifferent,True,True,True,indifferent
652,wayfair.com,unknown,True,True,True,True,indifferent
653,princeton.edu,unknown,True,True,True,True,indifferent
656,hugedomains.com,unknown,True,True,True,True,indifferent
657,amazon.fr,True,indifferent,True,True,True,indifferent
661,amazon.ca,True,indifferent,True,True,True,indifferent
662,ea.com,unknown,True,True,True,True,indifferent
664,onetrust.com,unknown,True,True,True,True,indifferent
665,www.amazon.com,True,indifferent,indifferent,True,True,indifferent
667,pornhub.com,unknown,True,True,True,True,indifferent
670,sectigo.com,unknown,True,True,True,True,indifferent
673,oneclient.sfx.ms,indifferent,indifferent,indifferent,True,True,indifferent
676,bestbuy.com,unknown,True,True,True,True,indifferent
678,fiverr.com,unknown,True,True,True,True,indifferent
679,lemonde.fr,True,indifferent,True,True,True,indifferent
682,optimizely.com,True,indifferent,True,True,True,indifferent
701,www.linkedin.com,True,indifferent,indifferent,True,True,indifferent
703,xvideos.com,True,indifferent,True,True,True,indifferent
705,change.org,True,indifferent,True,True,True,indifferent
706,trustpilot.com,True,indifferent,True,True,True,indifferent
707,whitehouse.gov,True,indifferent,True,True,True,indifferent
711,braze.com,unknown,True,True,True,True,indifferent
721,livejournal.com,True,indifferent,True,True,True,indifferent
722,google.cn,True,indifferent,True,True,True,indifferent
723,amazon.in,True,indifferent,True,True,True,indifferent
725,temu.com,True,indifferent,True,True,True,indifferent
734,xnxx.com,True,indifferent,True,True,True,indifferent
735,usda.gov,unknown,True,True,True,True,indifferent
736,noaa.gov,True,indifferent,True,True,True,indifferent
740,academia.edu,True,indifferent,True,True,True,indifferent
745,state.gov,True,indifferent,indifferent,True,True,indifferent
746,t-online.de,True,indifferent,True,True,True,indifferent
748,jotform.com,unknown,True,True,True,True,indifferent
754,stackadapt.com,True,indifferent,True,True,True,indifferent
758,sohu.com,unknown,True,True,True,True,indifferent
760,lowes.com,unknown,True,unknown,True,False,relative
765,33across.com,unknown,True,True,True,True,indifferent
766,shopee.com.br,True,indifferent,indifferent,True,True,indifferent
768,ieee.org,unknown,True,True,True,True,indifferent
769,bugsnag.com,True,indifferent,True,True,True,indifferent
770,docker.com,True,indifferent,True,True,True,indifferent
771,epa.gov,True,indifferent,True,True,True,indifferent
773,usnews.com,unknown,True,True,True,True,indifferent
777,adjust.com,unknown,True,True,True,True,indifferent
780,bootstrapcdn.com,True,indifferent,True,True,True,indifferent
781,pbs.org,True,indifferent,True,True,True,indifferent
782,amazon.it,unknown,True,True,True,True,indifferent
783,welt.de,unknown,True,True,True,True,indifferent
784,cbc.ca,unknown,True,True,True,True,indifferent
788,inmobi.com,unknown,True,True,True,True,indifferent
792,economist.com,True,indifferent,True,True,True,indifferent
796,store.steampowered.com,indifferent,indifferent,indifferent,True,True,indifferent
798,amplitude.com,indifferent,indifferent,indifferent,True,True,indifferent
801,disneyplus.com,unknown,True,True,True,True,indifferent
803,w55c.net,True,indifferent,True,True,True,indifferent
813,discogs.com,unknown,True,True,True,True,indifferent
814,flashtalking.com,indifferent,indifferent,indifferent,True,True,indifferent
817,ocsp.r2m01.amazontrust.com,True,indifferent,indifferent,True,True,indifferent
819,amazon.es,True,indifferent,True,True,True,indifferent
826,repubblica.it,True,indifferent,True,True,True,indifferent
828,daum.net,unknown,True,True,True,True,indifferent
830,nelreports.net,True,indifferent,True,True,True,indifferent
832,realtor.com,True,indifferent,True,True,True,indifferent
835,eporner.com,True,indifferent,True,True,True,indifferent
838,marketwatch.com,True,indifferent,True,True,True,indifferent
842,biblegateway.com,True,indifferent,True,True,True,indifferent
844,roku.com,unknown,True,True,True,True,indifferent
847,wp.pl,True,indifferent,True,True,True,indifferent
848,box.com,True,indifferent,True,True,True,indifferent
852,bild.de,unknown,True,True,True,True,indifferent
857,ebay.de,unknown,True,True,True,True,indifferent
861,fortune.com,indifferent,indifferent,indifferent,True,True,indifferent
866,unpkg.com,indifferent,indifferent,indifferent,True,True,indifferent
870,shopee.co.id,True,indifferent,indifferent,True,True,indifferent
873,costco.com,unknown,True,True,True,True,indifferent
874,elmundo.es,True,indifferent,True,True,True,indifferent
881,quantcount.com,True,indifferent,indifferent,True,True,indifferent
882,seznam.cz,True,indifferent,True,True,True,indifferent
891,corriere.it,True,indifferent,True,True,True,indifferent
893,avito.ru,unknown,True,True,True,True,indifferent
896,intentiq.com,True,indifferent,True,True,True,indifferent
897,mgid.com,unknown,True,True,True,True,indifferent
899,asos.com,unknown,True,True,True,True,indifferent
902,ancestry.com,True,indifferent,True,True,True,indifferent
903,eset.com,unknown,True,True,True,True,indifferent
907,wildberries.ru,True,indifferent,True,True,True,indifferent
911,redfin.com,True,indifferent,True,True,True,indifferent
915,rapid7.com,True,indifferent,True,True,True,indifferent
921,newyorker.com,True,indifferent,True,True,True,indifferent
924,mediavine.com,True,indifferent,True,True,True,indifferent
925,adroll.com,indifferent,indifferent,indifferent,True,True,indifferent
928,francetvinfo.fr,unknown,True,True,True,True,indifferent
931,dbankcloud.cn,True,indifferent,True,True,True,indifferent
932,weforum.org,unknown,True,True,True,True,indifferent
939,nicovideo.jp,True,indifferent,True,True,True,indifferent
946,kargo.com,True,indifferent,True,True,True,indifferent
951,cdnjs.cloudflare.com,True,indifferent,indifferent,True,True,indifferent
955,marca.com,True,indifferent,True,True,True,indifferent
956,psu.edu,True,indifferent,True,True,True,indifferent
964,yale.edu,True,indifferent,True,True,True,indifferent
968,agoda.com,unknown,True,True,True,True,indifferent
969,mckinsey.com,unknown,True,True,True,True,indifferent
971,erome.com,True,indifferent,True,True,True,indifferent
972,connatix.com,indifferent,indifferent,indifferent,True,True,indifferent
985,gsmarena.com,True,indifferent,True,True,True,indifferent
986,clients3.google.com,True,indifferent,indifferent,True,True,indifferent
987,atlassian.com,True,indifferent,True,True,True,indifferent
988,onet.pl,True,indifferent,True,True,True,indifferent
992,innovid.com,True,indifferent,True,True,True,indifferent
996,n-tv.de,True,indifferent,True,True,True,indifferent
997,flurry.com,True,indifferent,True,True,True,indifferent
998,tynt.com,False,True,indifferent,True,True,indifferent
1003,chess.com,True,indifferent,True,True,True,indifferent
1006,www.instagram.com,True,indifferent,indifferent,True,True,indifferent
1012,dbankcloud.com,True,indifferent,True,True,True,indifferent
1016,sciencedaily.com,True,indifferent,True,True,True,indifferent
1017,ecosia.org,True,indifferent,True,True,True,indifferent
1018,merriam-webster.com,True,indifferent,True,True,True,indifferent
1023,newsweek.com,True,indifferent,True,True,True,indifferent
1026,gofundme.com,True,indifferent,True,True,True,indifferent
1028,ouest-france.fr,unknown,True,True,True,True,indifferent
1029,bfmtv.com,True,indifferent,True,True,True,indifferent
1031,idnes.cz,True,indifferent,True,True,True,indifferent
1033,jimdo.com,True,indifferent,True,True,True,indifferent
1034,klaviyo.com,True,indifferent,True,True,True,indifferent
1035,openstreetmap.org,True,indifferent,True,True,True,indifferent
1036,fullstory.com,True,indifferent,True,True,True,indifferent
1037,quantummetric.com,True,indifferent,True,True,True,indifferent
1038,sportskeeda.com,unknown,True,True,True,True,indifferent
1040,clarin.com,unknown,True,True,True,True,indifferent
1043,flipkart.com,unknown,True,True,True,True,indifferent
1046,netgear.com,True,indifferent,True,True,True,indifferent
1048,creditkarma.com,unknown,True,True,True,True,indifferent
1050,nu.nl,unknown,True,True,True,True,indifferent
1051,in.pinterest.com,indifferent,indifferent,indifferent,True,True,indifferent
1052,hindustantimes.com,unknown,True,True,True,True,indifferent
1053,nexusmods.com,unknown,True,True,True,True,indifferent
1055,tokopedia.com,unknown,True,True,True,True,indifferent
1056,upenn.edu,True,indifferent,True,True,True,indifferent
1060,interia.pl,True,indifferent,True,True,True,indifferent
1062,samsungosp.com,True,indifferent,indifferent,True,True,indifferent
1063,joinhoney.com,True,indifferent,True,True,True,indifferent
1064,vmware.com,unknown,True,True,True,True,indifferent
1070,india.com,unknown,True,True,True,True,indifferent
1072,zdnet.com,True,indifferent,True,True,True,indifferent
1073,permutive.com,indifferent,indifferent,indifferent,True,True,indifferent
1074,otto.de,True,indifferent,True,True,True,indifferent
1078,ocsp.r2m02.amazontrust.com,True,indifferent,indifferent,True,True,indifferent
1079,biomedcentral.com,True,indifferent,True,True,True,indifferent
1080,mobile.de,unknown,True,True,True,True,indifferent
1086,ipify.org,True,indifferent,True,True,True,indifferent
1093,mdpi.com,unknown,True,True,True,True,indifferent
1095,aparat.com,unknown,True,True,True,True,indifferent
1098,conviva.com,unknown,True,True,True,True,indifferent
1100,google.ru,True,indifferent,True,True,True,indifferent
1102,detik.com,True,indifferent,True,True,True,indifferent
1104,20minutos.es,True,indifferent,True,True,True,indifferent
1105,www.adobe.com,indifferent,indifferent,indifferent,True,True,indifferent
1107,vidazoo.com,indifferent,indifferent,indifferent,True,True,indifferent
1108,typeform.com,True,indifferent,True,True,True,indifferent
1111,forter.com,True,indifferent,True,True,True,indifferent
1122,bmj.com,True,indifferent,True,True,True,indifferent
1126,ilovepdf.com,unknown,True,True,True,True,indifferent
1127,leboncoin.fr,True,indifferent,True,True,True,indifferent
1130,google.cl,True,indifferent,True,True,True,indifferent
1131,udn.com,indifferent,indifferent,indifferent,True,True,indifferent
1137,redditmedia.com,True,indifferent,True,True,True,indifferent
1138,wetter.com,True,indifferent,True,True,True,indifferent
1144,kleinanzeigen.de,unknown,True,True,True,True,indifferent
1148,safebrowsing.google.com,True,indifferent,indifferent,True,True,indifferent
1152,flashscore.com,True,indifferent,True,True,True,indifferent
1153,vox.com,True,indifferent,True,True,True,indifferent
1154,espncricinfo.com,unknown,True,True,True,True,indifferent
1157,trendyol.com,unknown,True,True,True,True,indifferent
1158,nakheelteam.cc,indifferent,indifferent,indifferent,True,True,indifferent
1161,gazzetta.it,True,indifferent,True,True,True,indifferent
1162,login.yahoo.com,True,indifferent,indifferent,True,True,indifferent
