Rank,Domain
1,barnesandnoble.com
2,flashscore.com
3,microsoft.com
4,googleapis.com
5,youtube.com
6,apple.com
7,www.google.com
8,twitter.com
9,instagram.com
10,discogs.com
11,www.discogs.com
12,brainly.in
13,miui.com
14,permutive.com
15,www.yahoo.com
16,news.com.au
17,game8.jp
18,airbnb.com
19,businessinsider.com
20,geny.com
21,33across.com
22,joyclub.de
23,scontent.xx.fbcdn.net
24,creativecdn.com
25,ctldl.windowsupdate.com
26,amazon.com
27,prod.cloud.netflix.com
28,bing.com
29,apple-dns.net
30,wordpress.org
31,microsoftonline.com
32,ftl.netflix.com
33,root-servers.net
34,icloud.com
35,play.google.com
36,youtu.be
37,pinterest.com
38,en.wikipedia.org
39,prod.ftl.netflix.com
40,yahoo.com
41,tiktokv.com
42,googleusercontent.com
43,nrdp.prod.cloud.netflix.com
44,googlesyndication.com
45,fbcdn.net
46,login.microsoftonline.com
47,github.com
48,vimeo.com
49,digicert.com
50,akamaiedge.net
51,maps.google.com